Ticker,Dir,Price,RSI,Support,Resist,Entry,Stop,Target,R:R,Units,Risk$,Pos$,PosPct,WasCapped,CapReason,Vol,Earn,EarnDays,Type,SqueezeRisk,ShortInt,InstOwn,ATR_pct,HighVol,LateEntry,MonthlyTrend,MonthlyCandle,MonthlyPct,SectorETF,SectorRS,RS_pct,SectorTrend,SupportQ,SupportTouches,LevelRel,_level_rel,_false_breakout,_fb_label,_level_amb,_level_amb_n,_trend_confirmed,_trend_conf_label,_fib_zone,_fib_ret_pct,_fib_swing_low,_fib_swing_high,_fib_levels,_macd,_boll,_fundamental,Prob,EstWeeks,TimeHorizon,HorizonLabel,HorizonColor,HorizonRange,IsWatchlist
AMC,🔴 SHORT,1.89,61.5,1.24,1.94,1.89,2.0,1.24,6.01,1155.3,125,2183,8.7,False,,WARN,2026-05-05,-62.0,STOCK,NONE,7.8,28.8,24.79,True,2.6,SHORT,BULL,6.7,,,,,WEAK,0,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,AMBIGUOUS,6,False,UNCONFIRMED,SHALLOW,36.0,0.9300000071525574,3.5999999046325684,"{'23.6': 1.56, '38.2': 1.95, '50.0': 2.26, '61.8': 2.58, '78.6': 3.03}","{'macd': 0.0738, 'signal': -0.0606, 'histogram': 0.1344, 'trend': 'BULL', 'cross': None, 'divergence': None}","{'upper': 2.5311, 'middle': 1.55, 'lower': 0.5689, 'pct_b': 0.673, 'squeeze': False, 'position': 'MID'}","{'signal': 'HOLD', 'conf': 50, 'consensus': 'None (6 analysts)', 'target': 2.15833, 'upside': 14.2, 'caveats': [], 'bullets': ['Communication Services / Entertainment — $1.7B market cap', 'Analyst target $2.16 → +14.2% upside', 'Revenue growth: 21.2%'], 'scores': {'pe': -11.8125, 'debtToEquity': None, 'revenueGrowth': 0.212, 'shortPct': 0.0776}}",27,2.3,WEEKLY,⚡ שבועי,#3fb950,1–2 שבועות,True
HO,🟢 LONG,3.25,29.7,3.04,4.84,3.25,2.95,4.84,5.36,421.9,125,1369,5.5,False,,OK,-,,COMMODITY,NONE,0.0,0.0,14.28,True,6.7,LONG,BEAR,-6.4,,,,,STRONG,3,CLEAN,CLEAN,False,NO_BREAKOUT,AMBIGUOUS,8,False,UNCONFIRMED,GOLDEN_ZONE,57.0,2.0469000339508057,4.835299968719482,"{'23.6': 4.18, '38.2': 3.77, '50.0': 3.44, '61.8': 3.11, '78.6': 2.64}","{'macd': 0.1122, 'signal': 0.2375, 'histogram': -0.1254, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 4.6728, 'middle': 3.702, 'lower': 2.7313, 'pct_b': 0.265, 'squeeze': False, 'position': 'MID'}",,66,5.7,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
GTLB,🔴 SHORT,32.07,68.4,18.73,34.06,32.07,35.08,18.73,4.43,41.5,125,1331,5.3,False,,OK,2026-09-02,58.0,STOCK,MEDIUM,12.5,86.6,12.12,True,5.8,SHORT,BEAR,-3.7,,,,,MEDIUM,2,TESTED,TESTED,False,NO_BREAKOUT,AMBIGUOUS,4,False,UNCONFIRMED,GOLDEN_ZONE,39.6,18.729999542236328,52.380001068115234,"{'23.6': 26.67, '38.2': 31.58, '50.0': 35.56, '61.8': 39.53, '78.6': 45.18}","{'macd': -1.3535, 'signal': -2.8463, 'histogram': 1.4928, 'trend': 'BULL', 'cross': None, 'divergence': None}","{'upper': 32.6348, 'middle': 25.2945, 'lower': 17.9542, 'pct_b': 0.962, 'squeeze': False, 'position': 'NEAR_UPPER'}","{'signal': 'HOLD', 'conf': 55, 'consensus': 'Hold (23 analysts)', 'target': 33.6087, 'upside': 4.8, 'caveats': [], 'bullets': ['Technology / Software - Infrastructure — $5.4B market cap', 'Analyst target $33.61 → +4.8% upside', 'Revenue growth: 23.1%'], 'scores': {'pe': 31.15861, 'debtToEquity': None, 'revenueGrowth': 0.231, 'shortPct': 0.125}}",92,5.7,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
DKNG,🔴 SHORT,25.89,65.9,21.01,26.5,25.89,27.3,21.01,3.47,89.0,125,2303,9.2,False,,OK,APPROACHING,30.0,STOCK,MEDIUM,8.4,80.0,10.45,True,2.3,SHORT,NEUTRAL,2.1,,,,,MEDIUM,2,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,AMBIGUOUS,7,False,UNCONFIRMED,NO_RETRACEMENT,19.2,20.459999084472656,48.779998779296875,"{'23.6': 27.14, '38.2': 31.28, '50.0': 34.62, '61.8': 37.96, '78.6': 42.72}","{'macd': -1.1382, 'signal': -1.8918, 'histogram': 0.7536, 'trend': 'BULL', 'cross': None, 'divergence': None}","{'upper': 28.1022, 'middle': 24.3995, 'lower': 20.6968, 'pct_b': 0.701, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (35 analysts)', 'target': 34.91143, 'upside': 34.8, 'caveats': ['High P/E: 288x', 'High D/E ratio: 317%'], 'bullets': ['Consumer Cyclical / Gambling — $12.8B market cap', 'Analyst target $34.91 → +34.8% upside', 'Revenue growth: 16.8%'], 'scores': {'pe': 287.66666, 'debtToEquity': 316.975, 'revenueGrowth': 0.168, 'shortPct': 0.083900005}}",69,3.0,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
TON,🔴 SHORT,0.01,70.5,0.01,0.01,0.01,0.01,0.01,2.64,324770.1,125,2440,9.8,False,,WARN,-,,CRYPTO,NONE,0.0,0.0,10.66,True,2.4,,,,,,,,STRONG,3,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,CLEAR,1,False,UNCONFIRMED,NO_RETRACEMENT,0.1,0.004042999818921089,3.728602886199951,"{'23.6': 0.88, '38.2': 1.43, '50.0': 1.87, '61.8': 2.31, '78.6': 2.93}","{'macd': -0.0445, 'signal': -0.0644, 'histogram': 0.0199, 'trend': 'BULL', 'cross': None, 'divergence': 'BULL_DIV'}","{'upper': 0.0091, 'middle': 0.0061, 'lower': 0.0031, 'pct_b': 0.736, 'squeeze': False, 'position': 'MID'}",,64,0.0,WEEKLY,⚡ שבועי,#3fb950,1–2 שבועות,True
GILD,🟢 LONG,131.27,47.4,126.81,155.38,131.27,123.0,155.38,2.92,28.6,236,3750,15.0,True,Capped at 15% of portfolio,WARN,2026-08-06,31.0,STOCK,NONE,1.9,92.2,5.12,False,3.5,LONG,BEAR,-5.7,XLV,WEAK-,-5.2,UP,STRONG,7,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,AMBIGUOUS,5,False,UNCONFIRMED,GOLDEN_ZONE,47.9,105.01430582093928,155.38060389151264,"{'23.6': 143.49, '38.2': 136.14, '50.0': 130.2, '61.8': 124.25, '78.6': 115.79}","{'macd': -0.0931, 'signal': 1.3929, 'histogram': -1.486, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 148.7295, 'middle': 134.4408, 'lower': 120.1521, 'pct_b': 0.389, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (27 analysts)', 'target': 157.66667, 'upside': 20.1, 'caveats': [], 'bullets': ['Healthcare / Drug Manufacturers - General — $163.0B market cap', 'Analyst target $157.67 → +20.1% upside', 'Revenue growth: 4.4%'], 'scores': {'pe': 17.859865, 'debtToEquity': 94.635, 'revenueGrowth': 0.044, 'shortPct': 0.019199999}}",47,6.0,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,True
DIOD,🟢 LONG,96.25,63.2,91.02,117.8,96.25,88.29,117.8,2.71,15.7,125,1511,6.0,False,,WARN,2026-08-06,31.0,STOCK,NONE,6.7,100.9,15.8,True,5.7,LONG,BULL,5.7,,,,,WEAK,1,CLEAN,CLEAN,True,FALSE_BREAKOUT,AMBIGUOUS,4,True,CONFIRMED,SHALLOW,35.5,42.279998779296875,125.98999786376953,"{'23.6': 106.23, '38.2': 94.01, '50.0': 84.13, '61.8': 74.26, '78.6': 60.19}","{'macd': 12.2181, 'signal': 12.301, 'histogram': -0.0828, 'trend': 'BEAR', 'cross': 'DEATH', 'divergence': None}","{'upper': 128.5878, 'middle': 90.0305, 'lower': 51.4732, 'pct_b': 0.581, 'squeeze': False, 'position': 'MID'}","{'signal': 'HOLD', 'conf': 50, 'consensus': 'None (2 analysts)', 'target': 129.5, 'upside': 34.5, 'caveats': ['High P/E: 52x'], 'bullets': ['Technology / Semiconductors — $4.4B market cap', 'Analyst target $129.50 → +34.5% upside', 'Revenue growth: 22.1%'], 'scores': {'pe': 52.027027, 'debtToEquity': 5.376, 'revenueGrowth': 0.221, 'shortPct': 0.067}}",15,2.4,WEEKLY,⚡ שבועי,#3fb950,1–2 שבועות,True
MARA,🔴 SHORT,12.4,65.5,9.81,12.87,12.4,13.26,9.81,3.03,146.0,125,1810,7.2,False,,WARN,APPROACHING,22.0,STOCK,HIGH,30.8,69.6,17.89,True,3.7,SHORT,NEUTRAL,-1.1,,,,,STRONG,6,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,AMBIGUOUS,9,False,UNCONFIRMED,SHALLOW,34.2,6.659999847412109,23.450000762939453,"{'23.6': 10.62, '38.2': 13.07, '50.0': 15.06, '61.8': 17.04, '78.6': 19.86}","{'macd': 0.5765, 'signal': 0.157, 'histogram': 0.4195, 'trend': 'BULL', 'cross': None, 'divergence': None}","{'upper': 16.0297, 'middle': 11.24, 'lower': 6.4503, 'pct_b': 0.621, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (11 analysts)', 'target': 18.53818, 'upside': 49.5, 'caveats': ['High short interest: 31%'], 'bullets': ['Financial Services / Capital Markets — $4.7B market cap', 'Analyst target $18.54 → +49.5% upside', 'Revenue growth: -18.4%'], 'scores': {'pe': -18.235292, 'debtToEquity': 105.602, 'revenueGrowth': -0.184, 'shortPct': 0.3083}}",47,1.9,WEEKLY,⚡ שבועי,#3fb950,1–2 שבועות,True
SOFI,🔴 SHORT,18.24,60.0,14.93,18.8,18.24,19.36,14.93,2.96,111.7,125,2037,8.2,False,,WARN,APPROACHING,23.0,STOCK,HIGH,15.5,56.7,11.71,True,3.0,SHORT,NEUTRAL,-1.2,,,,,STRONG,4,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,AMBIGUOUS,5,False,UNCONFIRMED,NO_RETRACEMENT,18.6,14.920000076293945,32.72999954223633,"{'23.6': 19.12, '38.2': 21.72, '50.0': 23.82, '61.8': 25.93, '78.6': 28.92}","{'macd': -1.231, 'signal': -1.6013, 'histogram': 0.3703, 'trend': 'BULL', 'cross': None, 'divergence': None}","{'upper': 19.8109, 'middle': 17.189, 'lower': 14.5671, 'pct_b': 0.7, 'squeeze': False, 'position': 'MID'}","{'signal': 'HOLD', 'conf': 55, 'consensus': 'Hold (20 analysts)', 'target': 20.9, 'upside': 14.6, 'caveats': [], 'bullets': ['Financial Services / Credit Services — $23.4B market cap', 'Analyst target $20.90 → +14.6% upside', 'Revenue growth: 42.5%'], 'scores': {'pe': 40.533333, 'debtToEquity': 17.724, 'revenueGrowth': 0.425, 'shortPct': 0.1548}}",33,2.6,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,True
ULTA,🔴 SHORT,461.33,41.5,352.4,491.98,461.33,506.74,352.4,2.4,5.5,250,2539,10.2,False,,WARN,2026-08-27,52.0,STOCK,HIGH,5.0,101.6,7.7,False,6.2,SHORT,STRONG_BEAR,-10.6,,,,,STRONG,13,TESTED,TESTED,False,NO_BREAKOUT,AMBIGUOUS,6,True,CONFIRMED,NO_RETRACEMENT,6.5,443.6000061035156,714.969970703125,"{'23.6': 507.64, '38.2': 547.26, '50.0': 579.28, '61.8': 611.31, '78.6': 656.9}","{'macd': -28.9931, 'signal': -19.5805, 'histogram': -9.4127, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 666.8221, 'middle': 533.6075, 'lower': 400.3928, 'pct_b': 0.229, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (24 analysts)', 'target': 627.25, 'upside': 36.0, 'caveats': [], 'bullets': ['Consumer Cyclical / Specialty Retail — $19.8B market cap', 'Analyst target $627.25 → +36.0% upside', 'Revenue growth: 11.1%'], 'scores': {'pe': 17.304201, 'debtToEquity': 89.209, 'revenueGrowth': 0.111, 'shortPct': 0.0495}}",86,5.1,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
